City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.45,few clouds,3.0707,172.7902,Isles Sunset Lodge
1,Muroto,JP,80.8,broken clouds,33.2833,134.15,Oota Ryokan
2,Ribeira Grande,PT,81.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
3,Aquiraz,BR,87.46,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
5,Wajima,JP,76.21,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
8,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
9,Port Elizabeth,ZA,61.11,clear sky,-33.918,25.5701,39 On Nile Guest House
11,Ribeira Brava,PT,84.0,clear sky,32.65,-17.0667,Hotel do Campo
12,Victoria,HK,87.33,scattered clouds,22.2855,114.1577,Mini Central
13,Laguna,US,76.96,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
14,Cape Town,ZA,66.61,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
15,Dinghai,CN,81.52,overcast clouds,26.2847,119.7936,Shanhai Hotel
16,Shingu,JP,76.86,clear sky,33.7333,135.9833,Shingu UI Hotel
19,Bodden Town,KY,89.6,scattered clouds,19.2833,-81.25,Will T Place
20,Cortez,US,65.16,overcast clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
22,Koumac,NC,70.74,broken clouds,-20.5667,164.2833,Le Monitel
24,Barabinsk,RU,70.32,broken clouds,55.3571,78.357,Gostinichnyy Kompleks Noy
26,Saint-Philippe,RE,70.21,few clouds,-21.3585,55.7679,Le four à pain
28,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Nikolskoye,RU,67.91,overcast clouds,59.7035,30.7861,Tourist House - Sablino
32,Marsh Harbour,BS,83.25,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
34,East Angus,CA,74.03,few clouds,45.4834,-71.6658,Pierrette Bolduc
35,Antalaha,MG,68.85,clear sky,-14.9003,50.2788,Hotel Vitasoa
36,Bethel,US,84.34,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
39,Berlevag,NO,69.6,fog,70.8578,29.0864,Kvitbrakka
40,Hollins,US,78.48,clear sky,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
43,Rikitea,PF,73.92,overcast clouds,-23.1203,-134.9692,People ThankYou
45,Yuksekova,TR,82.15,few clouds,37.5736,44.2872,Hotel Grand Yılmaz
49,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
52,West Lafayette,US,74.41,overcast clouds,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
54,Villarrica,PY,86.04,scattered clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
55,Port Keats,AU,70.25,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
57,Plouzane,FR,68.18,overcast clouds,48.3833,-4.6167,Lymina
58,East London,ZA,63.54,scattered clouds,-33.0153,27.9116,Tu Casa
59,Carnarvon,AU,70.03,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
62,Uelzen,DE,73.15,few clouds,52.9667,10.5667,Akzent Hotel Deutsche Eiche - K. H. Meyer KG
63,Samarai,PG,78.15,light rain,-10.6167,150.6667,Nuli Sapi
64,Port Alfred,ZA,61.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
65,Ponta Do Sol,PT,84.0,clear sky,32.6667,-17.1,Hotel do Campo
66,Dongkan,CN,77.45,clear sky,33.9997,119.8308,Triumphal Resort
69,Kiunga,PG,73.38,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
71,Seoul,KR,81.84,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
80,Bossangoa,CF,76.71,light rain,6.4926,17.4552,LA PERLE DE BOSTON
81,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
83,Yellowknife,CA,66.72,broken clouds,62.456,-114.3525,The Explorer Hotel
84,Atuona,PF,77.61,broken clouds,-9.8,-139.0333,Villa Enata
85,Albany,US,78.62,overcast clouds,42.6001,-73.9662,
86,Jamestown,US,77.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
87,Zeya,RU,66.38,overcast clouds,53.75,127.2667,Kapital Inn
88,Verkhniye Tatyshly,RU,64.83,broken clouds,56.2912,55.8575,
89,Caluquembe,AO,76.01,scattered clouds,-13.7833,14.6833,Hotel Kalukembe
90,Saint George,US,82.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
92,Palmer,US,82.09,scattered clouds,42.1584,-72.3287,Wedgewood Motel
93,Sherbakul,RU,68.95,broken clouds,54.6316,72.3963,
94,North Bend,US,61.16,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
96,Udachnyy,RU,75.45,broken clouds,66.4167,112.4,Severnoye Siyaniye
98,Alofi,NU,62.49,clear sky,-19.0595,-169.9187,Taloa Heights
99,Hilo,US,78.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
103,Kargat,RU,67.39,overcast clouds,55.1956,80.2811,Kargat
104,Tuy Hoa,VN,78.58,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
105,Santa Cruz,BO,86.05,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
107,Yamada,JP,72.55,overcast clouds,39.4667,141.95,Iroha-ya Inn
108,Kholmogory,RU,71.1,overcast clouds,64.2229,41.656,Гостевая комната
109,Altay,CN,67.8,few clouds,47.8667,88.1167,Jinqiao Hotel
114,Nampula,MZ,73.35,few clouds,-15.1165,39.2666,Ruby Backpackers
116,Moose Factory,CA,69.8,broken clouds,51.2585,-80.6094,Cree Village Eco Lodge
117,Nago,JP,83.25,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
120,Dawei,MM,78.15,light rain,14.0833,98.2,Hotel Dawei
121,Moussoro,TD,81.79,overcast clouds,13.6408,16.4901,Hôtel Salama
122,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
123,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
124,Natal,BR,86.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
125,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
126,Maragogi,BR,78.84,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
127,Faanui,PF,77.49,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
129,Margate,GB,69.12,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
132,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
133,Luanda,AO,70.68,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
134,Castro,BR,73.04,clear sky,-24.7911,-50.0119,CHACARA BAILLY
135,Fare,PF,78.51,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
136,Namibe,AO,67.87,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
137,Katsuura,JP,79.3,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
138,Jaca,ES,89.02,clear sky,42.569,-0.5499,Hotel Real Jaca & Spa
140,Rio Grande,BR,64.51,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
141,Isiro,CD,72.79,overcast clouds,2.7739,27.616,Guest House Hewa Bora
144,Ugoofaaru,MV,82.06,scattered clouds,5.6667,73.0,Ungoofaaru Inn
145,Baoshan,CN,71.94,overcast clouds,46.5586,131.4244,Kelaixiang Restaurant
146,Santa Cruz Del Sur,CU,86.2,overcast clouds,20.7147,-77.9956,
147,Bubaque,GW,79.0,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
148,Inhambane,MZ,71.58,few clouds,-23.865,35.3833,Oceano
149,Kingisepp,RU,64.92,overcast clouds,59.3733,28.6134,Narva
150,Nouadhibou,MR,82.38,few clouds,20.931,-17.0347,El Medina
152,Mabaruma,GY,86.11,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
154,La Mana,EC,75.92,light rain,-0.9333,-79.2167,Hotel Somagg
157,Payson,US,85.55,scattered clouds,40.0444,-111.7321,Quality Inn Payson I-15
158,Saskylakh,RU,73.0,broken clouds,71.9167,114.0833,
161,Menongue,AO,77.36,scattered clouds,-14.6585,17.691,Ritz Lauca
162,Tautira,PF,76.23,light rain,-17.7333,-149.15,Pension Oaoa
163,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
