City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-07-24 03:02:36,-46.6,168.3333,45.09,77,9,1.7
1,Saint George,US,2022-07-24 02:58:36,37.1041,-113.5841,98.64,20,88,3.0
2,Yerbogachen,RU,2022-07-24 03:02:37,61.2767,108.0108,75.54,60,85,7.56
3,Grindavik,IS,2022-07-24 03:02:37,63.8424,-22.4338,48.67,93,75,6.91
4,Mataura,NZ,2022-07-24 03:00:34,-46.1927,168.8643,47.48,68,3,0.47
5,Qaanaaq,GL,2022-07-24 03:02:37,77.484,-69.3632,37.49,99,100,1.36
6,Saskylakh,RU,2022-07-24 03:02:38,71.9167,114.0833,64.31,60,10,4.74
7,Dunedin,NZ,2022-07-24 03:00:29,-45.8742,170.5036,49.8,62,0,8.01
8,Bathsheba,BB,2022-07-24 03:02:38,13.2167,-59.5167,81.05,85,3,14.65
9,Te Anau,NZ,2022-07-24 03:00:51,-45.4167,167.7167,47.71,74,20,0.67
10,Port Lincoln,AU,2022-07-24 03:00:46,-34.7333,135.8667,60.49,60,96,19.1
11,Salinas,US,2022-07-24 02:59:00,36.6777,-121.6555,63.48,81,100,10.36
12,Lasa,IT,2022-07-24 03:02:39,46.6166,10.7002,60.37,89,19,3.44
13,Palmer,US,2022-07-24 03:02:40,42.1584,-72.3287,78.39,72,33,4.36
14,Platanos,GR,2022-07-24 03:02:40,37.6667,21.6167,76.69,35,0,5.12
15,Avera,US,2022-07-24 03:02:40,33.194,-82.5271,80.13,66,34,6.38
16,Rikitea,PF,2022-07-24 03:02:41,-23.1203,-134.9692,73.13,62,4,6.04
17,Albany,US,2022-07-24 03:00:46,42.6001,-73.9662,78.57,65,39,2.44
18,Masyaf,SY,2022-07-24 03:02:41,35.0653,36.3406,70.63,57,0,5.64
19,Berdigestyakh,RU,2022-07-24 03:02:42,62.0989,126.6992,78.69,48,18,2.86
20,Leningradskiy,RU,2022-07-24 03:02:42,69.3833,178.4167,34.86,93,100,2.98
21,Henties Bay,NA,2022-07-24 03:02:43,-22.116,14.2845,53.94,93,0,4.52
22,Port Alfred,ZA,2022-07-24 03:02:43,-33.5906,26.891,56.7,75,70,20.85
23,Atuona,PF,2022-07-24 03:00:36,-9.8,-139.0333,77.25,73,32,16.64
24,Ribeira Grande,PT,2022-07-24 03:02:43,38.5167,-28.7,73.44,89,12,5.23
25,Nortelandia,BR,2022-07-24 03:02:44,-14.4547,-56.8028,73.71,44,52,3.67
26,Nanortalik,GL,2022-07-24 03:02:44,60.1432,-45.2371,43.02,94,100,8.75
27,East London,ZA,2022-07-24 03:02:44,-33.0153,27.9116,56.5,67,65,21.99
28,Hobart,AU,2022-07-24 03:02:32,-42.8794,147.3294,60.26,78,75,4.61
29,Lebu,CL,2022-07-24 03:02:45,-37.6167,-73.65,51.49,93,100,2.89
30,Ouargaye,BF,2022-07-24 03:02:45,11.5033,0.0572,73.62,92,100,7.56
31,Busselton,AU,2022-07-24 03:02:45,-33.65,115.3333,57.22,50,78,8.25
32,Punta Arenas,CL,2022-07-24 03:00:39,-53.15,-70.9167,32.11,72,51,11.03
33,Nouadhibou,MR,2022-07-24 03:02:46,20.931,-17.0347,73.38,94,100,6.91
34,Coquimbo,CL,2022-07-24 03:02:46,-29.9533,-71.3436,55.22,90,53,2.13
35,Lagoa,PT,2022-07-24 03:02:47,39.05,-27.9833,72.03,92,0,9.95
36,Cape Town,ZA,2022-07-24 02:57:48,-33.9258,18.4232,53.46,64,1,13.91
37,Kaitangata,NZ,2022-07-24 03:02:47,-46.2817,169.8464,45.97,62,9,2.06
38,Cidreira,BR,2022-07-24 03:01:36,-30.1811,-50.2056,61.68,98,100,8.12
39,Upernavik,GL,2022-07-24 03:02:48,72.7868,-56.1549,42.55,97,100,1.23
40,Karak,JO,2022-07-24 03:02:48,31.1667,35.75,64.85,69,5,5.41
41,Kamenka,RU,2022-07-24 03:02:48,51.3223,42.7678,60.17,90,57,6.91
42,Paka,MY,2022-07-24 03:02:49,4.6374,103.4368,84.2,71,93,5.99
43,Hasaki,JP,2022-07-24 03:02:30,35.7333,140.8333,91.29,76,70,16.08
44,Fortuna,US,2022-07-24 02:58:20,40.5982,-124.1573,61.92,76,1,3.0
45,Harindanga,IN,2022-07-24 03:03:49,22.0383,88.3214,80.46,88,100,8.1
46,Port Blair,IN,2022-07-24 03:03:50,11.6667,92.75,82.56,77,98,5.55
47,Pacific Grove,US,2022-07-24 03:03:50,36.6177,-121.9166,58.24,90,100,10.36
48,Chuy,UY,2022-07-24 03:03:50,-33.6971,-53.4616,59.7,96,100,6.53
49,Khatanga,RU,2022-07-24 03:03:51,71.9667,102.5,76.32,46,40,11.65
50,Narsaq,GL,2022-07-24 03:03:51,60.9167,-46.05,46.62,85,100,1.92
51,Sao Filipe,CV,2022-07-24 03:03:51,14.8961,-24.4956,76.53,88,100,4.09
52,Kysyl-Syr,RU,2022-07-24 03:03:52,63.8986,122.7617,76.03,52,11,6.55
53,La Paz,BO,2022-07-24 03:03:52,-16.5,-68.15,44.2,68,58,3.56
54,Acarau,BR,2022-07-24 03:01:11,-2.8856,-40.12,78.46,84,41,13.8
55,Flinders,AU,2022-07-24 03:02:14,-34.5833,150.8552,68.18,65,4,1.99
56,Souillac,MU,2022-07-24 03:01:07,-20.5167,57.5167,69.15,74,80,13.58
57,Puerto Ayora,EC,2022-07-24 03:03:53,-0.7393,-90.3518,69.55,91,55,5.99
58,Bethel,US,2022-07-24 03:00:41,41.3712,-73.414,78.76,77,15,3.87
59,Khelyulya,RU,2022-07-24 03:03:53,61.7333,30.6833,62.42,94,92,4.45
60,Omboue,GA,2022-07-24 03:03:53,-1.5746,9.2618,69.51,89,46,4.23
61,Griffith,US,2022-07-24 03:03:54,41.5284,-87.4237,81.9,76,0,6.91
62,Bredasdorp,ZA,2022-07-24 03:00:41,-34.5322,20.0403,47.07,82,37,0.92
63,Tanout,NE,2022-07-24 03:03:54,14.9709,8.8879,82.65,54,88,11.95
64,Mahebourg,MU,2022-07-24 03:03:55,-20.4081,57.7,67.24,74,71,15.05
65,Vardo,NO,2022-07-24 03:03:55,70.3705,31.1107,49.98,87,75,10.36
66,Katsuura,JP,2022-07-24 03:00:49,35.1333,140.3,82.04,75,99,14.34
67,Ilulissat,GL,2022-07-24 03:03:56,69.2167,-51.1,38.19,99,100,1.12
68,Miandrivazo,MG,2022-07-24 03:03:56,-19.5167,45.4667,64.42,72,16,0.04
69,Ahipara,NZ,2022-07-24 03:03:56,-35.1667,173.1667,56.75,91,100,21.23
70,Wewak,PG,2022-07-24 03:03:57,-3.5534,143.6268,86.07,67,24,6.64
71,Norman Wells,CA,2022-07-24 03:01:33,65.282,-126.8329,62.64,77,75,4.61
72,Barrow,US,2022-07-24 03:03:57,71.2906,-156.7887,37.42,87,100,11.5
73,Ushuaia,AR,2022-07-24 03:01:30,-54.8,-68.3,20.34,95,48,4.36
74,Nioro,GM,2022-07-24 03:03:58,13.35,-15.75,75.16,94,85,2.19
75,Kodiak,US,2022-07-24 03:02:13,57.79,-152.4072,51.31,93,100,21.85
76,Jamestown,US,2022-07-24 02:59:00,42.097,-79.2353,68.52,95,3,5.75
77,Petropavlovsk-Kamchatskiy,RU,2022-07-24 03:03:58,53.0452,158.6483,70.39,60,20,13.42
78,Westport,US,2022-07-24 03:00:10,41.1415,-73.3579,80.56,76,4,5.23
79,Pokhara,NP,2022-07-24 03:03:59,28.2333,83.9833,75.25,86,100,3.0
80,Castro,BR,2022-07-24 03:00:56,-24.7911,-50.0119,57.47,75,51,2.82
81,Pfullendorf,DE,2022-07-24 03:03:59,47.9167,9.25,65.52,77,92,1.03
82,New Norfolk,AU,2022-07-24 03:00:24,-42.7826,147.0587,58.37,73,67,2.51
83,Campbell River,CA,2022-07-24 03:03:59,50.0163,-125.2446,72.27,53,9,10.02
84,Alofi,NU,2022-07-24 03:04:00,-19.0595,-169.9187,73.74,69,94,21.43
85,Airai,TL,2022-07-24 03:04:00,-8.9266,125.4092,69.3,47,7,3.58
86,Trelew,AR,2022-07-24 03:04:01,-43.249,-65.3051,39.13,96,100,8.81
87,Arraial Do Cabo,BR,2022-07-24 03:01:27,-22.9661,-42.0278,71.01,88,24,21.77
88,Changli,CN,2022-07-24 03:05:01,39.7042,119.1506,86.18,56,0,9.1
89,Bosaso,SO,2022-07-24 03:05:02,11.2842,49.1816,89.76,40,81,22.97
90,Vaini,TO,2022-07-24 03:05:02,-21.2,-175.2,73.56,78,40,10.36
91,Hay River,CA,2022-07-24 03:00:45,60.8156,-115.7999,58.77,83,100,10.2
92,Sorland,NO,2022-07-24 03:05:02,67.667,12.6934,51.66,75,77,11.3
93,Lubango,AO,2022-07-24 03:05:03,-14.9172,13.4925,56.66,38,1,4.68
94,Lorengau,PG,2022-07-24 03:05:03,-2.0226,147.2712,85.51,70,41,10.54
95,Georgetown,MY,2022-07-24 03:03:25,5.4112,100.3354,87.73,70,20,5.75
96,Amherstburg,CA,2022-07-24 03:00:44,42.1168,-83.0499,80.94,93,100,6.91
97,Hilo,US,2022-07-24 03:02:48,19.7297,-155.09,75.83,78,94,5.55
98,Trairi,BR,2022-07-24 03:00:17,-3.2778,-39.2689,78.89,81,18,11.41
99,Sibolga,ID,2022-07-24 03:02:25,1.7427,98.7792,85.35,64,86,2.91
100,Araouane,ML,2022-07-24 03:05:04,18.9048,-3.5265,96.69,17,55,9.06
101,Quesnel,CA,2022-07-24 03:03:35,52.9999,-122.5029,73.18,47,75,2.55
102,San Cristobal,VE,2022-07-24 03:02:08,7.7669,-72.225,65.43,87,6,1.72
103,Portland,US,2022-07-24 03:03:52,45.5234,-122.6762,74.88,47,0,6.29
104,Pochutla,MX,2022-07-24 03:05:05,15.7432,-96.4661,80.82,88,100,2.8
105,Metkovic,HR,2022-07-24 03:05:05,43.0542,17.6483,72.45,42,1,3.71
106,Quatre Cocos,MU,2022-07-24 03:05:06,-20.2078,57.7625,67.08,76,83,15.14
107,San Javier,ES,2022-07-24 03:05:06,37.8063,-0.8374,76.51,71,0,1.39
108,Nikolskoye,RU,2022-07-24 03:05:06,59.7035,30.7861,64.8,97,99,4.0
109,Kruisfontein,ZA,2022-07-24 03:05:07,-34.0033,24.7314,49.89,82,74,12.95
110,Port-Gentil,GA,2022-07-24 03:05:07,-0.7193,8.7815,73.11,79,77,8.14
111,Gallup,US,2022-07-24 03:05:07,35.5281,-108.7426,72.36,61,0,14.97
112,Coihaique,CL,2022-07-24 03:05:08,-45.5752,-72.0662,26.55,100,100,0.0
113,Port Elizabeth,ZA,2022-07-24 03:04:41,-33.918,25.5701,52.11,93,42,8.99
114,Vieques,PR,2022-07-24 03:05:08,18.425,-65.8329,82.11,83,40,11.5
115,Arinos,BR,2022-07-24 03:05:09,-15.9169,-46.1056,65.26,56,78,1.23
116,Poum,NC,2022-07-24 03:05:09,-20.2333,164.0167,74.55,72,97,10.0
117,Bengkulu,ID,2022-07-24 03:05:09,-3.8004,102.2655,79.99,79,100,1.61
118,Biak,ID,2022-07-24 03:05:10,-0.9131,122.8766,79.97,75,57,6.04
119,Alta Floresta,BR,2022-07-24 03:05:10,-9.8756,-56.0861,72.36,45,27,3.65
120,Ancud,CL,2022-07-24 03:03:18,-41.8697,-73.8203,44.6,91,100,1.36
121,Nantucket,US,2022-07-24 03:01:33,41.2835,-70.0995,78.91,49,3,11.39
122,Gravdal,NO,2022-07-24 03:05:11,68.1214,13.5031,52.21,72,91,7.49
123,Voila,RO,2022-07-24 03:05:11,45.8167,24.85,68.74,44,8,3.6
124,Saint-Philippe,RE,2022-07-24 03:05:11,-21.3585,55.7679,68.59,82,75,11.92
125,Sangmelima,CM,2022-07-24 03:05:12,2.9333,11.9833,66.61,100,100,1.28
126,Carbondale,US,2022-07-24 03:05:12,37.7273,-89.2168,83.05,82,0,6.91
127,Pangnirtung,CA,2022-07-24 03:05:12,66.1451,-65.7125,49.19,74,74,0.54
128,Boca De Parita,PA,2022-07-24 03:05:13,8.0167,-80.45,78.58,89,100,4.14
129,Faanui,PF,2022-07-24 03:05:13,-16.4833,-151.75,79.66,73,0,11.99
130,Rawson,AR,2022-07-24 03:04:01,-43.3002,-65.1023,40.71,90,100,11.36
131,Praia,CV,2022-07-24 03:05:13,14.9215,-23.5087,77.54,88,75,2.3
132,Hithadhoo,MV,2022-07-24 03:05:14,-0.6,73.0833,81.41,71,100,1.81
133,Puerto Maldonado,PE,2022-07-24 03:05:14,-12.6,-69.1833,75.9,71,75,1.54
134,Lata,PT,2022-07-24 03:05:14,40.1629,-8.3327,57.85,78,0,0.89
135,Korla,CN,2022-07-24 03:05:15,41.7597,86.1469,96.37,12,0,11.61
136,Balykshi,KZ,2022-07-24 03:05:15,47.0667,51.8667,68.0,73,0,6.71
137,Hambantota,LK,2022-07-24 03:06:16,6.1241,81.1185,79.14,89,75,4.61
138,Maceio,BR,2022-07-24 03:02:42,-9.6658,-35.7353,74.64,88,100,5.75
